Número,Fecha (dd/mm/aa),Nombre actividad,Costo,Presupuesto,Tiempo invertido,Tipo,Momento,No. de personas
202,10/24/2025,Café,35,50,15,1,1,1
203,10/24/2025,Transporte a casa,5.746,20,15,6,2,2
204,10/25/2025,Tarea/Proyecto,0,0,180,5,2,1
205,10/26/2025,Transporte fin de semana,15,30,25,6,2,2
206,10/26/2025,Desayuno,95,120,30,1,1,2
207,10/27/2025,Transporte al instituto,5.746,20,20,6,1,2
208,10/27/2025,Café,35,50,15,1,1,1
209,10/27/2025,Transporte a casa,5.746,20,15,6,2,2
210,10/28/2025,Transporte al instituto,5.746,20,20,6,1,2
211,10/28/2025,Café,35,50,15,1,1,1
212,10/28/2025,Transporte a casa,5.746,20,15,6,2,2
213,10/29/2025,Transporte al instituto,5.746,20,20,6,1,2
214,10/29/2025,Café,35,50,15,1,1,1
215,10/29/2025,Transporte a casa,5.746,20,15,6,2,2
216,10/30/2025,Transporte al instituto,5.746,20,20,6,1,2
217,10/30/2025,Café,35,50,15,1,1,1
218,10/30/2025,Comida,145,150,60,1,2,1
219,10/31/2025,Transporte al instituto,5.746,20,20,6,1,2
220,10/31/2025,Café,35,50,15,1,1,1
221,10/31/2025,Transporte a casa,5.746,20,15,6,2,2
222,11/1/2025,Materiales de electrónica,230,300,45,5,2,1
223,11/2/2025,Transporte fin de semana,15,30,25,6,2,2
224,11/2/2025,Cena,250,300,90,1,3,4
225,11/3/2025,Regalo para hermano,300,350,10,4,2,1
226,11/4/2025,Transporte al instituto,5.746,20,20,6,1,2
227,11/4/2025,Café,35,50,15,1,1,1
228,11/4/2025,Transporte a casa,5.746,20,15,6,2,2
229,11/5/2025,Transporte al instituto,5.746,20,20,6,1,2
230,11/5/2025,Café,35,50,15,1,1,1
231,11/5/2025,Transporte a casa,5.746,20,15,6,2,2
232,11/6/2025,Transporte al instituto,5.746,20,20,6,1,2
233,11/6/2025,Café,35,50,15,1,1,1
234,11/6/2025,Comida,130,150,60,1,2,1
235,11/7/2025,Transporte al instituto,5.746,20,20,6,1,2
236,11/7/2025,Café,35,50,15,1,1,1
237,11/7/2025,Transporte a casa,5.746,20,15,6,2,2
238,11/8/2025,Película en casa,0,0,100,4,3,1
239,11/9/2025,Transporte fin de semana,15,30,25,6,2,2
240,11/9/2025,Desayuno,105,120,30,1,1,2
241,11/10/2025,Transporte al instituto,5.746,20,20,6,1,2
242,11/10/2025,Café,35,50,15,1,1,1
243,11/10/2025,Transporte a casa,5.746,20,15,6,2,2
244,11/11/2025,Transporte al instituto,5.746,20,20,6,1,2
245,11/11/2025,Café,35,50,15,1,1,1
246,11/11/2025,Transporte a casa,5.746,20,15,6,2,2
247,11/12/2025,Transporte al instituto,5.746,20,20,6,1,2
248,11/12/2025,Café,35,50,15,1,1,1
249,11/12/2025,Transporte a casa,5.746,20,15,6,2,2
250,11/13/2025,Transporte al instituto,5.746,20,20,6,1,2
251,11/13/2025,Café,35,50,15,1,1,1
252,11/13/2025,Comida,120,150,60,1,2,1
253,11/14/2025,Transporte al instituto,5.746,20,20,6,1,2
254,11/14/2025,Café,35,50,15,1,1,1
255,11/14/2025,Transporte a casa,5.746,20,15,6,2,2
256,11/15/2025,Salida con amigos,180,250,150,4,3,3
257,11/16/2025,Transporte fin de semana,15,30,25,6,2,2
258,11/16/2025,Tarea/Proyecto,0,0,120,5,1,1
259,11/17/2025,Transporte al instituto,5.746,20,20,6,1,2
260,11/17/2025,Café,35,50,15,1,1,1
261,11/17/2025,Transporte a casa,5.746,20,15,6,2,2
262,11/18/2025,Transporte al instituto,5.746,20,20,6,1,2
263,11/18/2025,Café,35,50,15,1,1,1
264,11/18/2025,Transporte a casa,5.746,20,15,6,2,2
265,11/19/2025,Transporte al instituto,5.746,20,20,6,1,2
266,11/19/2025,Café,35,50,15,1,1,1
267,11/19/2025,Transporte a casa,5.746,20,15,6,2,2
268,11/20/2025,Transporte al instituto,5.746,20,20,6,1,2
269,11/20/2025,Café,35,50,15,1,1,1
270,11/20/2025,Comida,140,150,60,1,2,1
271,11/21/2025,Transporte al instituto,5.746,20,20,6,1,2
272,11/21/2025,Café,35,50,15,1,1,1
273,11/21/2025,Transporte a casa,5.746,20,15,6,2,2
274,11/22/2025,Cena en restaurante,400,450,120,1,3,4
275,11/23/2025,Transporte fin de semana,15,30,25,6,2,2
276,11/23/2025,Desayuno,110,120,30,1,1,2
277,11/24/2025,Transporte al instituto,5.746,20,20,6,1,2
278,11/24/2025,Café,35,50,15,1,1,1
279,11/24/2025,Transporte a casa,5.746,20,15,6,2,2
280,11/25/2025,Transporte al instituto,5.746,20,20,6,1,2
281,11/25/2025,Café,35,50,15,1,1,1
282,11/25/2025,Transporte a casa,5.746,20,15,6,2,2
283,11/26/2025,Transporte al instituto,5.746,20,20,6,1,2
284,11/26/2025,Café,35,50,15,1,1,1
285,11/26/2025,Transporte a casa,5.746,20,15,6,2,2
286,11/27/2025,Transporte al instituto,5.746,20,20,6,1,2
287,11/27/2025,Café,35,50,15,1,1,1
288,11/27/2025,Comida,150,150,60,1,2,1
289,11/28/2025,Protector de pantalla,500,550,10,4,2,1
290,11/29/2025,Transporte al instituto,5.746,20,20,6,1,2
291,11/29/2025,Café,35,50,15,1,1,1
292,11/29/2025,Regalo de intercambio,300,350,20,4,2,1
293,11/29/2025,Transporte a casa,5.746,20,15,6,2,2
294,11/30/2025,Transporte fin de semana,15,30,25,6,2,2
295,11/30/2025,Desayuno,120,150,30,1,1,2
296,12/1/2025,Transporte al instituto,5.746,20,20,6,1,2
297,12/1/2025,Café,35,50,15,1,1,1
298,12/1/2025,Transporte a casa,5.746,20,15,6,2,2
